"Sort
order","Major area, region, country or area of destination",Notes,Code,Type of data (a),International migrant stock at mid-year (both sexes),,,,,,,International migrant stock at mid-year (male),,,,,,,International migrant stock at mid-year (female),,,,,,
,,,,,1990,1995,2000,2005,2010,2015,2017,1990,1995,2000,2005,2010,2015,2017,1990,1995,2000,2005,2010,2015,2017
1,WORLD,,900,,"152,542,373","160,700,028","172,604,257","190,531,600","220,019,266","247,585,744","257,715,425","77,456,347","81,394,711","87,527,473","97,276,738","113,583,838","127,597,596","133,078,858","75,086,026","79,305,317","85,076,784","93,254,862","106,435,428","119,988,148","124,636,567"
2,More developed regions,b,901,,"82,391,619","92,331,345","103,417,894","116,295,565","130,683,517","140,250,197","145,983,830","40,270,398","45,105,749","50,558,910","56,887,391","63,373,864","67,530,336","70,354,903","42,121,221","47,225,596","52,858,984","59,408,174","67,309,653","72,719,861","75,628,927"
3,Less developed regions,c,902,,"70,150,754","68,368,683","69,186,363","74,236,035","89,335,749","107,335,547","111,731,595","37,185,949","36,288,962","36,968,563","40,389,347","50,209,974","60,067,260","62,723,955","32,964,805","32,079,721","32,217,800","33,846,688","39,125,775","47,268,287","49,007,640"
4,Least developed countries,d,941,,"11,073,226","11,708,074","10,073,307","9,803,046","9,994,197","13,804,757","14,441,715","5,556,516","5,837,124","5,037,373","4,990,035","4,998,873","6,872,458","7,169,094","5,516,710","5,870,950","5,035,934","4,813,011","4,995,324","6,932,299","7,272,621"
5,"Less developed regions, excluding least developed countries",,934,,"59,116,432","56,701,134","59,155,202","64,483,287","79,393,605","93,572,872","97,330,919","31,650,243","30,473,289","31,953,282","35,425,871","45,238,587","53,217,023","55,576,421","27,466,189","26,227,845","27,201,920","29,057,416","34,155,018","40,355,849","41,754,498"
6,High-income countries,e,1503,,"75,239,010","86,645,274","100,404,811","117,786,056","141,789,049","156,816,897","164,846,887","38,788,286","44,382,281","51,231,660","60,496,210","73,841,855","81,724,101","86,173,681","36,450,724","42,262,993","49,173,151","57,289,846","67,947,194","75,092,796","78,673,206"
7,Middle-income countries,e,1517,,"68,475,181","64,413,423","64,042,290","64,661,461","70,204,762","79,772,836","81,439,828","34,252,236","32,244,515","32,259,940","32,713,531","35,796,247","40,472,786","41,307,350","34,222,945","32,168,908","31,782,350","31,947,930","34,408,515","39,300,050","40,132,478"
8,Upper-middle-income countries,e,1502,,"33,412,332","33,181,319","33,846,189","35,813,417","39,705,036","48,222,417","49,731,791","16,950,275","16,820,033","17,268,331","18,221,472","20,443,777","24,693,556","25,458,896","16,462,057","16,361,286","16,577,858","17,591,945","19,261,259","23,528,861","24,272,895"
9,Lower-middle-income countries,e,1501,,"35,062,849","31,232,104","30,196,101","28,848,044","30,499,726","31,550,419","31,708,037","17,301,961","15,424,482","14,991,609","14,492,059","15,352,470","15,779,230","15,848,454","17,760,888","15,807,622","15,204,492","14,355,985","15,147,256","15,771,189","15,859,583"
10,Low-income countries,e,1500,,"8,533,974","9,287,911","7,732,730","7,604,325","7,545,206","10,491,456","10,914,651","4,264,450","4,589,700","3,826,200","3,834,495","3,715,829","5,161,902","5,354,430","4,269,524","4,698,211","3,906,530","3,769,830","3,829,377","5,329,554","5,560,221"
11,Sub-Saharan Africa,f,947,,"14,690,319","15,324,570","13,716,539","14,272,361","15,691,999","21,705,234","22,975,988","7,745,306","8,036,824","7,210,452","7,650,681","8,320,074","11,363,786","12,000,898","6,945,013","7,287,746","6,506,087","6,621,680","7,371,925","10,341,448","10,975,090"
12,AFRICA,,903,,"15,690,623","16,352,814","14,800,306","15,462,306","17,007,249","23,436,088","24,650,223","8,279,564","8,616,931","7,856,358","8,410,588","9,151,195","12,436,082","13,032,334","7,411,059","7,735,883","6,943,948","7,051,718","7,856,054","11,000,006","11,617,889"
13,Eastern Africa,,910,,"5,964,031","5,022,742","4,844,795","4,745,792","4,657,063","6,920,965","7,591,799","3,071,189","2,585,053","2,480,584","2,529,460","2,366,216","3,470,486","3,789,312","2,892,842","2,437,689","2,364,211","2,216,332","2,290,847","3,450,479","3,802,487"
14,Burundi,,108,B R,"333,110","254,853","125,628","172,874","235,259","289,810","299,569","163,267","124,165","61,094","84,805","115,823","142,790","147,599","169,843","130,688","64,534","88,069","119,436","147,020","151,970"
15,Comoros,,174,B,"14,079","13,939","13,799","13,209","12,618","12,555","12,555","6,717","6,614","6,511","6,286","6,060","6,071","6,071","7,362","7,325","7,288","6,923","6,558","6,484","6,484"
16,Djibouti,,262,B R,"122,221","99,774","100,507","92,091","101,575","112,351","116,089","64,242","52,476","52,920","51,315","53,295","59,081","61,025","57,979","47,298","47,587","40,776","48,280","53,270","55,064"
17,Eritrea,,232,I,"11,848","12,400","12,952","14,314","15,676","15,941","16,041","6,228","6,542","6,856","7,729","8,603","8,833","8,889","5,620","5,858","6,096","6,585","7,073","7,108","7,152"
18,Ethiopia,,231,B R,"1,155,390","806,904","611,384","514,242","567,720","1,162,576","1,227,143","607,284","424,117","322,219","269,725","297,534","591,876","624,222","548,106","382,787","289,165","244,517","270,186","570,700","602,921"
19,Kenya,,404,B R,"297,292","618,745","699,139","756,894","926,959","1,084,357","1,078,572","160,852","322,189","348,594","391,310","459,343","541,644","538,724","136,440","296,556","350,545","365,584","467,616","542,713","539,848"
20,Madagascar,,450,C,"23,917","21,177","23,541","26,058","28,905","32,075","33,844","13,348","11,901","13,276","14,744","16,410","18,270","19,278","10,569","9,276","10,265","11,314","12,495","13,805","14,566"
21,Malawi,,454,B R,"1,127,724","241,624","232,620","221,661","217,722","232,803","237,104","546,520","116,198","111,530","105,931","103,869","110,893","112,936","581,204","125,426","121,090","115,730","113,853","121,910","124,168"
22,Mauritius,1,480,C,"3,613","7,493","15,543","19,647","24,836","28,585","28,713","1,763","3,228","5,705","8,943","13,188","15,832","15,903","1,850","4,265","9,838","10,704","11,648","12,753","12,810"
23,Mayotte,,175,B,"15,229","26,316","45,474","63,176","72,757","73,992","74,399","8,780","14,679","23,546","31,364","34,500","34,235","34,424","6,449","11,637","21,928","31,812","38,257","39,757","39,975"
24,Mozambique,,508,B R,"122,332","168,256","195,702","204,830","214,612","238,930","246,954","66,060","91,210","103,175","102,500","104,676","116,916","120,843","56,272","77,046","92,527","102,330","109,936","122,014","126,111"
25,Réunion,,638,B,"57,210","77,159","100,678","115,076","123,029","127,209","129,153","30,724","40,710","52,264","59,196","62,707","64,537","65,524","26,486","36,449","48,414","55,880","60,322","62,672","63,629"
26,Rwanda,,646,B R,"159,869","233,200","347,076","432,797","436,787","441,525","443,088","80,690","117,931","175,685","217,027","218,425","220,017","220,796","79,179","115,269","171,391","215,770","218,362","221,508","222,292"
27,Seychelles,,690,B,"3,721","5,148","6,574","8,997","11,420","12,791","12,926","2,204","3,021","3,837","5,820","7,804","8,954","9,049","1,517","2,127","2,737","3,177","3,616","3,837","3,877"
28,Somalia,,706,I R,"478,294","19,527","20,087","20,670","23,995","41,578","44,868","244,201","10,282","10,622","11,047","12,914","21,904","23,549","234,093","9,245","9,465","9,623","11,081","19,674","21,319"
29,South Sudan,,728,B R,..,..,..,..,"257,905","844,122","845,239",..,..,..,..,"132,693","430,949","431,520",..,..,..,..,"125,212","413,173","413,719"
30,Uganda,,800,B R,"558,307","634,620","634,703","652,968","529,160","1,197,162","1,692,120","290,084","321,360","314,325","322,421","261,646","565,433","793,851","268,223","313,260","320,378","330,547","267,514","631,729","898,269"
31,United Republic of Tanzania,2,834,B R,"574,025","1,106,043","928,180","770,846","308,600","413,309","492,574","283,390","547,089","470,962","486,774","153,984","206,327","245,897","290,635","558,954","457,218","284,072","154,616","206,982","246,677"
32,Zambia,,894,B R,"279,029","244,338","321,167","252,749","149,637","155,428","156,982","142,807","125,329","163,620","128,553","75,775","78,545","79,331","136,222","119,009","157,547","124,196","73,862","76,883","77,651"
33,Zimbabwe,,716,B R,"626,821","431,226","410,041","392,693","397,891","403,866","403,866","352,028","246,012","233,843","223,970","226,967","227,379","229,881","274,793","185,214","176,198","168,723","170,924","176,487","173,985"
34,Middle Africa,,911,,"1,460,530","2,646,108","1,756,687","1,928,828","2,139,979","3,436,978","3,539,697","744,494","1,346,091","904,076","983,868","1,091,761","1,769,454","1,825,321","716,036","1,300,017","852,611","944,960","1,048,218","1,667,524","1,714,376"
35,Angola,,24,B R,"33,517","39,813","46,108","61,329","76,549","632,178","638,499","18,142","20,755","23,367","30,240","37,113","304,635","307,681","15,375","19,058","22,741","31,089","39,436","327,543","330,818"
36,Cameroon,,120,B C,"265,344","246,864","228,383","258,737","289,091","508,357","540,266","145,527","135,079","124,630","142,397","160,164","251,316","266,653","119,817","111,785","103,753","116,340","128,927","257,041","273,613"
37,Central African Republic,,140,C,"67,234","99,712","123,529","94,449","93,466","81,598","88,774","35,686","52,975","65,636","50,236","49,743","43,163","47,030","31,548","46,737","57,893","44,213","43,723","38,435","41,744"
38,Chad,,148,B R,"74,342","89,584","104,825","352,062","416,924","516,968","489,690","40,133","48,298","56,463","159,715","186,773","238,140","225,575","34,209","41,286","48,362","192,347","230,151","278,828","264,115"
39,Congo,,178,B,"129,597","191,635","305,002","315,238","419,649","392,996","398,890","64,418","95,822","152,666","171,420","228,180","215,274","218,503","65,179","95,813","152,336","143,818","191,469","177,722","180,387"
40,Democratic Republic of the Congo,,180,B R,"754,194","1,816,963","744,387","622,869","588,950","824,492","879,223","363,117","901,379","365,092","302,290","284,244","401,058","427,877","391,077","915,584","379,295","320,579","304,706","423,434","451,346"
41,Equatorial Guinea,,226,C,"2,740","3,629","4,517","6,588","8,658","209,611","221,865","1,465","1,930","2,394","3,564","4,734","161,527","170,970","1,275","1,699","2,123","3,024","3,924","48,084","50,895"
42,Gabon,,266,C,"127,980","152,972","195,571","214,123","243,992","268,384","280,197","73,053","87,305","111,616","122,279","139,458","153,144","159,885","54,927","65,667","83,955","91,844","104,534","115,240","120,312"
43,Sao Tome and Principe,,678,C,"5,582","4,936","4,365","3,433","2,700","2,394","2,293","2,953","2,548","2,212","1,727","1,352","1,197","1,147","2,629","2,388","2,153","1,706","1,348","1,197","1,146"
44,Northern Africa,,912,,"2,403,200","2,081,640","1,885,650","1,731,939","1,893,613","2,354,732","2,410,056","1,230,643","1,105,808","1,048,954","1,035,822","1,125,903","1,385,824","1,399,818","1,172,557","975,832","836,696","696,117","767,710","968,908","1,010,238"
45,Algeria,,12,B R,"273,954","262,032","250,110","197,422","216,964","239,473","248,624","150,234","143,696","137,158","108,266","114,727","126,522","131,192","123,720","118,336","112,952","89,156","102,237","112,951","117,432"
46,Egypt,,818,B R,"173,708","166,955","173,452","274,001","295,714","565,931","478,310","91,928","88,545","92,205","158,277","166,071","317,824","257,661","81,780","78,410","81,247","115,724","129,643","248,107","220,649"
47,Libya,,434,C,"457,075","508,041","567,436","625,212","683,998","771,146","788,419","242,707","300,906","368,950","445,597","489,737","549,153","561,454","214,368","207,135","198,486","179,615","194,261","221,993","226,965"
48,Morocco,,504,C,"54,895","50,360","53,034","54,379","70,909","92,424","95,835","29,024","26,264","27,233","27,543","35,738","46,387","48,099","25,871","24,096","25,801","26,836","35,171","46,037","47,736"
49,Sudan,3,729,B R,"1,402,896","1,053,396","801,883","541,994","578,363","623,878","735,821","696,385","525,701","403,048","275,915","294,782","313,528","368,382","706,511","527,695","398,835","266,079","283,581","310,350","367,439"
50,Tunisia,,788,C,"37,984","37,867","36,446","35,040","43,172","56,701","57,663","18,900","19,045","18,523","18,000","22,236","29,351","29,849","19,084","18,822","17,923","17,040","20,936","27,350","27,814"
51,Western Sahara,,732,I,"2,688","2,989","3,289","3,891","4,493","5,179","5,384","1,465","1,651","1,837","2,224","2,612","3,059","3,181","1,223","1,338","1,452","1,667","1,881","2,120","2,203"
52,Southern Africa,,913,,"1,392,359","1,191,582","1,222,314","1,439,426","2,357,093","4,112,793","4,338,205","840,899","714,194","721,814","837,071","1,357,200","2,282,281","2,407,541","551,460","477,388","500,500","602,355","999,893","1,830,512","1,930,664"
53,Botswana,,72,C,"27,510","40,168","57,064","88,829","120,912","160,644","166,430","16,614","23,517","32,891","49,695","66,692","87,873","91,038","10,896","16,651","24,173","39,134","54,220","72,771","75,392"
54,Lesotho,,426,C R,"8,240","7,204","6,167","6,290","6,414","6,572","6,749","4,318","3,827","3,335","3,402","3,469","3,558","3,654","3,922","3,377","2,832","2,888","2,945","3,014","3,095"
55,Namibia,,516,B,"120,641","115,372","134,403","106,274","102,405","96,888","95,067","63,748","61,310","72,509","57,034","55,054","52,187","51,207","56,893","54,062","61,894","49,240","47,351","44,701","43,860"
56,South Africa,,710,B R,"1,163,883","1,003,807","1,001,825","1,210,936","2,096,886","3,816,696","4,036,696","717,227","611,083","600,032","712,219","1,216,129","2,122,100","2,244,421","446,656","392,724","401,793","498,717","880,757","1,694,596","1,792,275"
57,Swaziland,,748,B R,"72,085","25,031","22,855","27,097","30,476","31,993","33,263","38,992","14,457","13,047","14,721","15,856","16,563","17,221","33,093","10,574","9,808","12,376","14,620","15,430","16,042"
58,Western Africa,,914,,"4,470,503","5,410,742","5,090,860","5,616,321","5,959,501","6,610,620","6,770,466","2,392,339","2,865,785","2,700,930","3,024,367","3,210,115","3,528,037","3,610,342","2,078,164","2,544,957","2,389,930","2,591,954","2,749,386","3,082,583","3,160,124"
59,Benin,,204,C B R,"76,212","104,971","133,730","171,499","209,267","245,399","253,284","40,092","55,858","71,624","93,882","116,139","137,662","142,168","36,120","49,113","62,106","77,617","93,128","107,737","111,116"
60,Burkina Faso,,854,B R,"349,657","434,848","520,039","596,972","673,904","704,676","708,921","167,836","209,117","250,399","285,542","320,684","335,328","337,349","181,821","225,731","269,640","311,430","353,220","369,348","371,572"
61,Cabo Verde,,132,B,"8,931","9,979","11,027","12,700","14,373","14,924","15,295","4,429","5,091","5,753","6,523","7,293","7,547","7,735","4,502","4,888","5,274","6,177","7,080","7,377","7,560"
62,Côte d'Ivoire,,384,C B,"1,816,426","2,076,394","1,994,135","2,010,824","2,095,185","2,175,399","2,197,152","1,011,749","1,150,710","1,104,600","1,113,590","1,160,366","1,204,616","1,216,662","804,677","925,684","889,535","897,234","934,819","970,783","980,490"
63,Gambia,,270,B,"118,123","150,890","182,514","181,905","185,763","192,540","205,063","66,306","82,048","97,138","96,230","98,086","101,501","108,103","51,817","68,842","85,376","85,675","87,677","91,039","96,960"
64,Ghana,,288,B,"164,851","252,879","191,601","304,436","337,017","399,471","417,642","83,030","127,423","97,279","159,363","171,558","203,351","212,601","81,821","125,456","94,322","145,073","165,459","196,120","205,041"
65,Guinea,,324,C R,"403,621","774,505","560,075","229,611","177,998","126,386","122,796","201,260","386,537","279,108","111,738","92,899","74,060","72,301","202,361","387,968","280,967","117,873","85,099","52,326","50,495"
66,Guinea-Bissau,,624,B R,"15,368","27,961","20,450","20,736","21,061","22,333","23,405","7,689","13,833","10,155","10,298","10,307","10,826","11,346","7,679","14,128","10,295","10,438","10,754","11,507","12,059"
67,Liberia,,430,B,"94,964","208,563","151,868","87,188","99,129","113,779","98,630","53,924","111,647","82,129","51,183","56,885","64,879","56,241","41,040","96,916","69,739","36,005","42,244","48,900","42,389"
68,Mali,,466,B R,"160,736","176,187","189,475","256,797","336,607","365,145","383,721","82,049","90,871","97,752","132,244","172,879","187,111","196,630","78,687","85,316","91,723","124,553","163,728","178,034","187,091"
69,Mauritania,,478,C R,"111,650","89,562","57,366","58,119","84,679","166,552","168,438","57,569","47,015","31,163","32,588","48,605","94,070","95,136","54,081","42,547","26,203","25,531","36,074","72,482","73,302"
70,Niger,,562,B R,"115,464","145,999","122,260","124,461","126,464","252,998","295,610","55,222","69,751","58,192","59,170","60,033","119,915","140,113","60,242","76,248","64,068","65,291","66,431","133,083","155,497"
71,Nigeria,,566,C R,"456,621","462,999","487,882","969,294","988,679","1,199,115","1,235,088","256,166","258,091","270,211","564,384","575,671","657,887","677,624","200,455","204,908","217,671","404,910","413,008","541,228","557,464"
72,Saint Helena,4,654,B,383,394,405,487,569,604,606,222,218,215,263,312,335,337,161,176,190,224,257,269,269
73,Senegal,,686,B R,"270,410","287,654","231,901","238,298","256,092","263,242","265,601","138,840","147,165","121,492","124,854","135,879","139,689","140,941","131,570","140,489","110,409","113,444","120,213","123,553","124,660"
